"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,3.00,95472.00,384.00,102.00,6.00,0.00,121.00,146.00,112.00,"US Airways Inc.","US","ABE","BWI",6,"619",1,1990,1,3,1,"F",
0.00,1.00,6400.00,30.00,0.00,0.00,0.00,95.00,50.00,35.00,"Westair Airlines Inc.","OE","ABE","HPN",4,"461",1,1990,1,3,1,"F",
0.00,1.00,38440.00,150.00,38.00,2636.00,1814.00,87.00,62.00,40.00,"Northwest Airlines Inc.","NW","ABE","JFK",6,"694",1,1990,1,3,1,"F",
0.00,1.00,35000.00,147.00,129.00,0.00,0.00,82.00,61.00,47.00,"United Air Lines Inc.","UA","ABE","LGA",7,"715",1,1990,1,3,1,"F",
0.00,1.00,26500.00,108.00,80.00,0.00,125.00,82.00,55.00,36.00,"US Airways Inc.","US","ABE","LGA",6,"640",1,1990,1,3,1,"F",
0.00,1.00,27780.00,110.00,102.00,4.00,1032.00,77.00,37.00,22.00,"US Airways Inc.","US","ABE","MDT",6,"620",1,1990,1,3,1,"F",
0.00,2.00,47100.00,206.00,156.00,2.00,43.00,253.00,119.00,92.00,"US Airways Inc.","US","ABE","PIT",6,"603",1,1990,1,3,1,"F",
0.00,2.00,63648.00,256.00,192.00,0.00,0.00,253.00,124.00,105.00,"US Airways Inc.","US","ABE","PIT",6,"619",1,1990,1,3,1,"F",
0.00,2.00,70000.00,302.00,127.00,0.00,115.00,253.00,127.00,89.00,"US Airways Inc.","US","ABE","PIT",7,"715",1,1990,1,3,1,"F",
0.00,2.00,74920.00,294.00,135.00,16.00,1215.00,339.00,145.00,116.00,"United Air Lines Inc.","UA","ABQ","DEN",7,"715",1,1990,1,3,1,"F",
0.00,1.00,35960.00,142.00,120.00,31.00,1500.00,339.00,81.00,55.00,"Trans World Airways LLC","TW","ABQ","DEN",6,"655",1,1990,1,3,1,"F",
0.00,1.00,47425.00,185.00,0.00,176.00,0.00,339.00,135.00,60.00,"Eastern Air Lines Inc.","EA","ABQ","DEN",6,"622",1,1990,1,3,1,"F",
0.00,1.00,36500.00,148.00,39.00,53.00,3.00,339.00,82.00,70.00,"Delta Air Lines Inc.","DL","ABQ","DEN",7,"715",1,1990,1,3,1,"F",
0.00,1.00,61060.00,204.00,189.00,0.00,10.00,487.00,94.00,72.00,"United Air Lines Inc.","UA","ABQ","LAS",6,"625",1,1990,1,3,1,"F",
0.00,1.00,32800.00,146.00,112.00,823.00,866.00,487.00,83.00,71.00,"Trans World Airways LLC","TW","ABQ","LAS",7,"715",1,1990,1,3,1,"F",
0.00,1.00,37460.00,147.00,68.00,189.00,1.00,677.00,108.00,89.00,"United Air Lines Inc.","UA","ABQ","LAX",7,"715",1,1990,1,3,2,"F",
0.00,1.00,31800.00,128.00,26.00,115.00,10.00,492.00,101.00,80.00,"Delta Air Lines Inc.","DL","ABQ","SLC",6,"619",1,1990,1,3,1,"F",
0.00,1.00,27975.00,115.00,80.00,42.00,201.00,492.00,86.00,76.00,"Trans World Airways LLC","TW","ABQ","SLC",7,"710",1,1990,1,3,1,"F",
0.00,1.00,10000.00,19.00,0.00,0.00,0.00,250.00,331.00,273.00,"Westair Airlines Inc.","OE","ACV","SFO",4,"469",1,1990,1,3,1,"F",
0.00,1.00,32824.00,128.00,78.00,0.00,0.00,309.00,63.00,53.00,"US Airways Inc.","US","ACY","PIT",6,"619",1,1990,1,3,1,"F",
0.00,1.00,11733.00,54.00,0.00,2415.00,0.00,616.00,114.00,96.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",5,"550",3,1990,1,3,2,"F",
0.00,6.00,135688.00,396.00,68.00,12233.00,4418.00,616.00,534.00,468.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",7,"711",3,1990,1,3,2,"F",
0.00,1.00,26155.00,107.00,93.00,245.00,0.00,143.00,63.00,55.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"620",1,1990,1,3,1,"F",
0.00,2.00,71000.00,284.00,243.00,101.00,0.00,143.00,139.00,76.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"655",1,1990,1,3,1,"F",
0.00,2.00,75200.00,296.00,209.00,711.00,4072.00,143.00,129.00,91.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1990,1,3,1,"F",
0.00,1.00,26500.00,108.00,54.00,0.00,0.00,96.00,27.00,20.00,"US Airways Inc.","US","AGS","SAV",6,"640",1,1990,1,3,1,"F",
0.00,1.00,9728.00,0.00,0.00,8216.00,1487.00,332.00,96.00,90.00,"Reeve Aleutian Airways Inc.","RV","AKN","CDB",4,"465",3,1990,1,3,1,"F",
0.00,1.00,8625.00,40.00,15.00,181.00,3229.00,275.00,96.00,84.00,"Reeve Aleutian Airways Inc.","RV","AKN","SDP",4,"465",3,1990,1,3,1,"F",
