"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,3.00,80334.00,198.00,74.00,4256.00,55516.00,616.00,330.00,300.00,"Reeve Aleutian Airways Inc.","RV","CDB","ADK",7,"711",3,1990,4,11,2,"F",
0.00,1.00,24000.00,70.00,0.00,0.00,0.00,621.00,158.00,150.00,"Markair Inc.","BF","CDB","ANC",6,"621",1,1990,4,11,2,"F",
0.00,10.00,220900.00,670.00,206.00,9977.00,3254.00,621.00,1176.00,1086.00,"Reeve Aleutian Airways Inc.","RV","CDB","ANC",5,"550",3,1990,4,11,2,"F",
0.00,3.00,28225.00,130.00,25.00,1987.00,3118.00,320.00,240.00,216.00,"Reeve Aleutian Airways Inc.","RV","CDB","SNP",5,"550",3,1990,4,11,1,"F",
0.00,21.00,581090.00,1496.00,921.00,15844.00,15769.00,160.00,926.00,700.00,"Alaska Airlines Inc.","AS","CDV","ANC",6,"621",3,1990,4,11,1,"F",
0.00,21.00,581090.00,1496.00,597.00,34484.00,33929.00,213.00,935.00,733.00,"Alaska Airlines Inc.","AS","CDV","YAK",6,"621",3,1990,4,11,1,"F",
0.00,1.00,10000.00,19.00,0.00,0.00,0.00,336.00,85.00,75.00,"Westair Airlines Inc.","OE","CEC","MOD",4,"469",1,1990,4,11,1,"F",
0.00,1.00,10000.00,19.00,4.00,0.00,0.00,255.00,85.00,75.00,"Westair Airlines Inc.","OE","CEC","SMF",4,"469",1,1990,4,11,1,"F",
0.00,6.00,156930.00,642.00,262.00,824.00,356.00,106.00,292.00,190.00,"Delta Air Lines Inc.","DL","CHA","ATL",6,"620",1,1990,4,11,1,"F",
0.00,1.00,35500.00,142.00,28.00,1040.00,37.00,106.00,51.00,27.00,"Delta Air Lines Inc.","DL","CHA","ATL",6,"655",1,1990,4,11,1,"F",
0.00,1.00,28550.00,110.00,51.00,17.00,0.00,242.00,57.00,44.00,"US Airways Inc.","US","CHA","CLT",6,"620",1,1990,4,11,1,"F",
0.00,1.00,27780.00,110.00,100.00,298.00,0.00,244.00,52.00,44.00,"US Airways Inc.","US","CHO","CLT",6,"620",1,1990,4,11,1,"F",
0.00,1.00,20807.00,100.00,39.00,0.00,0.00,523.00,89.00,82.00,"Air Wisconsin Airlines Corp","ZW","CHO","HSV",8,"868",1,1990,4,11,2,"F",
0.00,7.00,62813.00,252.00,153.00,53.00,0.00,77.00,263.00,188.00,"Air Wisconsin Airlines Corp","ZW","CHO","IAD",4,"489",1,1990,4,11,1,"F",
0.00,14.00,125634.00,504.00,105.00,0.00,11.00,76.00,424.00,323.00,"Air Wisconsin Airlines Corp","ZW","CHO","RIC",4,"489",1,1990,4,11,1,"F",
0.00,5.00,130775.00,535.00,405.00,290.00,0.00,259.00,352.00,259.00,"Delta Air Lines Inc.","DL","CHS","ATL",6,"620",1,1990,4,11,1,"F",
0.00,1.00,37610.00,148.00,76.00,1111.00,0.00,95.00,26.00,19.00,"Delta Air Lines Inc.","DL","CHS","CAE",7,"715",1,1990,4,11,1,"F",
0.00,1.00,36924.00,141.00,117.00,0.00,1.00,168.00,52.00,39.00,"US Airways Inc.","US","CHS","CLT",6,"655",1,1990,4,11,1,"F",
0.00,1.00,6400.00,30.00,14.00,0.00,0.00,441.00,101.00,90.00,"Westair Airlines Inc.","OE","CHS","IAD",4,"461",1,1990,4,11,1,"F",
0.00,1.00,25200.00,97.00,49.00,168.00,0.00,86.00,27.00,20.00,"Eastern Air Lines Inc.","EA","CHS","SAV",6,"640",1,1990,4,11,1,"F",
0.00,1.00,28880.00,122.00,95.00,144.00,1827.00,934.00,180.00,168.00,"America West Airlines Inc.","HP","CID","ABQ",6,"620",1,1990,4,11,2,"F",
0.00,2.00,70000.00,294.00,104.00,344.00,227.00,196.00,107.00,88.00,"United Air Lines Inc.","UA","CID","ORD",7,"715",1,1990,4,11,1,"F",
