"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,75058.00,272.00,162.00,2293.00,1540.00,399.00,190.00,157.00,"Alaska Airlines Inc.","AS","BOI","SEA",7,"715",1,1990,4,12,1,"F",
0.00,1.00,88840.00,287.00,134.00,1430.00,17465.00,399.00,74.00,65.00,"United Air Lines Inc.","UA","BOI","SEA",7,"730",1,1990,4,12,1,"F",
0.00,1.00,31800.00,128.00,41.00,131.00,107.00,291.00,63.00,49.00,"Delta Air Lines Inc.","DL","BOI","SLC",6,"619",1,1990,4,12,1,"F",
0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.00,0.00,0.00,"USAir Shuttle","TB","BOS","ACY",7,"710",1,1990,4,12,1,"F",
0.00,1.00,37460.00,147.00,63.00,0.00,0.00,201.00,48.00,33.00,"United Air Lines Inc.","UA","BOS","BGR",7,"715",1,1990,4,12,1,"F",
0.00,1.00,31000.00,94.00,52.00,0.00,21.00,181.00,52.00,36.00,"Continental Air Lines Inc.","CO","BOS","BTV",6,"620",1,1990,4,12,1,"F",
0.00,1.00,36924.00,141.00,126.00,0.00,1928.00,396.00,133.00,118.00,"US Airways Inc.","US","BOS","BUF",6,"655",1,1990,4,12,1,"F",
0.00,1.00,28800.00,115.00,65.00,0.00,492.00,370.00,87.00,68.00,"Eastern Air Lines Inc.","EA","BOS","BWI",6,"650",1,1990,4,12,1,"F",
0.00,2.00,76800.00,280.00,192.00,2998.00,0.00,370.00,218.00,189.00,"Eastern Air Lines Inc.","EA","BOS","BWI",7,"715",1,1990,4,12,1,"F",
0.00,1.00,37638.00,146.00,93.00,0.00,0.00,370.00,87.00,70.00,"US Airways Inc.","US","BOS","BWI",6,"617",1,1990,4,12,1,"F",
0.00,2.00,64648.00,256.00,79.00,972.00,490.00,563.00,229.00,189.00,"US Airways Inc.","US","BOS","CLE",6,"619",1,1990,4,12,2,"F",
0.00,2.00,63648.00,256.00,73.00,65.00,60.00,640.00,260.00,216.00,"US Airways Inc.","US","BOS","CMH",6,"619",1,1990,4,12,2,"F",
0.00,1.00,26500.00,108.00,13.00,0.00,0.00,640.00,126.00,103.00,"US Airways Inc.","US","BOS","CMH",6,"640",1,1990,4,12,2,"F",
0.00,1.00,32120.00,130.00,119.00,0.00,175.00,1737.00,333.00,314.00,"Continental Air Lines Inc.","CO","BOS","CYS",6,"619",1,1990,4,12,4,"F",
0.00,1.00,35000.00,151.00,84.00,75.00,0.00,399.00,104.00,79.00,"US Airways Inc.","US","BOS","DCA",7,"715",1,1990,4,12,1,"F",
0.00,1.00,48135.00,187.00,166.00,4400.00,0.00,1766.00,326.00,302.00,"Delta Air Lines Inc.","DL","BOS","DEN",6,"622",1,1990,4,12,4,"F",
0.00,1.00,92800.00,294.00,119.00,5004.00,0.00,632.00,125.00,99.00,"Northwest Airlines Inc.","NW","BOS","DTW",7,"733",1,1990,4,12,2,"F",
0.00,1.00,75575.00,257.00,221.00,0.00,0.00,200.00,86.00,72.00,"Continental Air Lines Inc.","CO","BOS","EWR",6,"690",1,1990,4,12,1,"F",
0.00,1.00,49000.00,194.00,69.00,1275.00,565.00,200.00,97.00,70.00,"United Air Lines Inc.","UA","BOS","EWR",6,"622",1,1990,4,12,1,"F",
0.00,1.00,48250.00,190.00,168.00,865.00,3.00,200.00,66.00,48.00,"America West Airlines Inc.","HP","BOS","EWR",6,"622",1,1990,4,12,1,"F",
0.00,1.00,37800.00,140.00,102.00,0.00,9.00,200.00,68.00,50.00,"Eastern Air Lines Inc.","EA","BOS","EWR",7,"715",1,1990,4,12,1,"F",
0.00,1.00,36300.00,148.00,93.00,0.00,0.00,200.00,68.00,52.00,"Delta Air Lines Inc.","DL","BOS","EWR",7,"715",1,1990,4,12,1,"F",
0.00,1.00,63040.00,204.00,58.00,10487.00,1450.00,200.00,72.00,39.00,"Delta Air Lines Inc.","DL","BOS","EWR",6,"625",1,1990,4,12,1,"F",
0.00,28.00,1765120.00,5712.00,3533.00,118295.00,11787.00,1237.00,5417.00,4867.00,"Delta Air Lines Inc.","DL","BOS","FLL",6,"625",1,1990,4,12,3,"F",
0.00,1.00,31773.00,146.00,143.00,0.00,0.00,413.00,92.00,73.00,"Continental Air Lines Inc.","CO","BOS","IAD",6,"655",1,1990,4,12,1,"F",
0.00,2.00,84000.00,306.00,249.00,1450.00,24.00,413.00,220.00,167.00,"Continental Air Lines Inc.","CO","BOS","IAD",7,"715",1,1990,4,12,1,"F",
0.00,3.00,168837.00,588.00,423.00,95.00,236.00,413.00,257.00,201.00,"Pan American World Airways (1)","PA","BOS","IAD",6,"692",1,1990,4,12,1,"F",
0.00,1.00,58200.00,184.00,55.00,403.00,0.00,413.00,108.00,71.00,"Trans World Airways LLC","TW","BOS","IAD",6,"625",1,1990,4,12,1,"F",
0.00,1.00,38140.00,146.00,133.00,570.00,2687.00,817.00,166.00,132.00,"Continental Air Lines Inc.","CO","BOS","IND",6,"655",1,1990,4,12,2,"F",
0.00,1.00,105902.00,386.00,382.00,3574.00,0.00,187.00,96.00,46.00,"Pan American World Airways (1)","PA","BOS","JFK",8,"816",1,1990,4,12,1,"F",
0.00,1.00,128165.00,381.00,367.00,245.00,1000.00,187.00,84.00,42.00,"America West Airlines Inc.","HP","BOS","JFK",8,"817",1,1990,4,12,1,"F",
0.00,1.00,126645.00,431.00,30.00,656.00,1797.00,187.00,68.00,45.00,"Trans World Airways LLC","TW","BOS","JFK",8,"816",1,1990,4,12,1,"F",
0.00,1.00,48250.00,190.00,155.00,0.00,5800.00,187.00,78.00,54.00,"America West Airlines Inc.","HP","BOS","JFK",6,"622",1,1990,4,12,1,"F",
0.00,1.00,37610.00,148.00,0.00,0.00,0.00,185.00,63.00,44.00,"Delta Air Lines Inc.","DL","BOS","LGA",7,"715",1,1990,4,12,1,"F",
0.00,1.00,29673.00,130.00,106.00,0.00,652.00,1257.00,233.00,205.00,"Continental Air Lines Inc.","CO","BOS","MCI",6,"619",1,1990,4,12,3,"F",
0.00,1.00,38140.00,146.00,111.00,0.00,0.00,1257.00,225.00,204.00,"Continental Air Lines Inc.","CO","BOS","MCI",6,"655",1,1990,4,12,3,"F",
0.00,1.00,36300.00,148.00,0.00,0.00,0.00,1092.00,290.00,273.00,"Delta Air Lines Inc.","DL","BOS","MGM",7,"715",1,1990,4,12,3,"F",
0.00,1.00,35000.00,151.00,33.00,0.00,0.00,1258.00,181.00,167.00,"US Airways Inc.","US","BOS","MIA",7,"715",1,1990,4,12,3,"F",
0.00,1.00,42000.00,153.00,153.00,0.00,0.00,1367.00,231.00,208.00,"Continental Air Lines Inc.","CO","BOS","MSY",7,"715",1,1990,4,12,3,"F",
0.00,1.00,48135.00,187.00,137.00,413.00,380.00,1505.00,320.00,289.00,"Delta Air Lines Inc.","DL","BOS","OKC",6,"622",1,1990,4,12,4,"F",
0.00,3.00,118405.00,438.00,422.00,277.00,1718.00,1282.00,780.00,690.00,"Continental Air Lines Inc.","CO","BOS","OMA",6,"655",1,1990,4,12,3,"F",
0.00,2.00,103360.00,399.00,298.00,9315.00,664.00,867.00,347.00,306.00,"United Air Lines Inc.","UA","BOS","ORD",8,"860",1,1990,4,12,2,"F",
0.00,1.00,28800.00,119.00,2.00,0.00,66.00,1197.00,188.00,170.00,"Eastern Air Lines Inc.","EA","BOS","PBI",6,"650",1,1990,4,12,3,"F",
0.00,1.00,35292.00,151.00,43.00,0.00,1600.00,280.00,140.00,89.00,"Continental Air Lines Inc.","CO","BOS","PHL",7,"715",1,1990,4,12,1,"F",
0.00,1.00,25450.00,100.00,86.00,300.00,863.00,280.00,95.00,63.00,"Northwest Airlines Inc.","NW","BOS","PHL",6,"640",1,1990,4,12,1,"F",
0.00,1.00,88840.00,287.00,283.00,9453.00,973.00,280.00,123.00,88.00,"United Air Lines Inc.","UA","BOS","PHL",7,"730",1,1990,4,12,1,"F",
0.00,1.00,38630.00,146.00,78.00,500.00,1100.00,280.00,113.00,92.00,"Northwest Airlines Inc.","NW","BOS","PHL",7,"715",1,1990,4,12,1,"F",
0.00,1.00,38140.00,146.00,124.00,0.00,0.00,496.00,110.00,87.00,"Continental Air Lines Inc.","CO","BOS","PIT",6,"655",1,1990,4,12,1,"F",
0.00,1.00,14700.00,63.00,57.00,0.00,0.00,496.00,126.00,106.00,"US Airways Inc.","US","BOS","PIT",6,"602",1,1990,4,12,1,"F",
0.00,1.00,35500.00,142.00,37.00,0.00,474.00,496.00,237.00,210.00,"Delta Air Lines Inc.","DL","BOS","PIT",6,"655",1,1990,4,12,1,"F",
0.00,1.00,63040.00,204.00,181.00,5852.00,200.00,612.00,106.00,90.00,"Delta Air Lines Inc.","DL","BOS","RDU",6,"625",1,1990,4,12,2,"F",
0.00,1.00,25200.00,97.00,95.00,0.00,38.00,612.00,164.00,131.00,"Eastern Air Lines Inc.","EA","BOS","RDU",6,"640",1,1990,4,12,2,"F",
0.00,1.00,23250.00,103.00,45.00,0.00,2200.00,474.00,154.00,133.00,"US Airways Inc.","US","BOS","RIC",6,"603",1,1990,4,12,1,"F",
0.00,1.00,26500.00,108.00,89.00,220.00,671.00,474.00,118.00,87.00,"US Airways Inc.","US","BOS","RIC",6,"640",1,1990,4,12,1,"F",
