"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,6400.00,30.00,0.00,0.00,0.00,529.00,30.00,20.00,"Westair Airlines Inc.","OE","ABE","AVL",4,"461",1,1990,3,9,2,"F",
0.00,1.00,25200.00,108.00,55.00,1571.00,105.00,542.00,157.00,133.00,"Eastern Air Lines Inc.","EA","ABE","GSP",6,"640",1,1990,3,9,2,"F",
0.00,1.00,26500.00,108.00,36.00,45.00,2159.00,82.00,46.00,38.00,"US Airways Inc.","US","ABE","LGA",6,"640",1,1990,3,9,1,"F",
0.00,1.00,25340.00,108.00,82.00,0.00,192.00,654.00,106.00,94.00,"United Air Lines Inc.","UA","ABE","ORD",7,"710",1,1990,3,9,2,"F",
0.00,1.00,36300.00,148.00,70.00,0.00,95.00,672.00,198.00,180.00,"Delta Air Lines Inc.","DL","ABQ","BUR",7,"715",1,1990,3,9,2,"F",
0.00,1.00,36300.00,148.00,96.00,0.00,800.00,569.00,105.00,85.00,"Delta Air Lines Inc.","DL","ABQ","DFW",7,"715",1,1990,3,9,2,"F",
0.00,1.00,39995.00,146.00,84.00,1173.00,1366.00,1180.00,164.00,148.00,"Continental Air Lines Inc.","CO","ABQ","SEA",6,"655",1,1990,3,9,3,"F",
0.00,1.00,27975.00,115.00,55.00,93.00,800.00,492.00,92.00,81.00,"Trans World Airways LLC","TW","ABQ","SLC",7,"710",1,1990,3,9,1,"F",
0.00,1.00,31824.00,128.00,83.00,101.00,675.00,1497.00,212.00,195.00,"US Airways Inc.","US","ABQ","TPA",6,"619",1,1990,3,9,3,"F",
0.00,1.00,32295.00,131.00,131.00,0.00,0.00,321.00,84.00,66.00,"America West Airlines Inc.","HP","ABQ","TUS",6,"619",1,1990,3,9,1,"F",
0.00,1.00,36924.00,141.00,95.00,0.00,0.00,309.00,64.00,52.00,"US Airways Inc.","US","ACY","PIT",6,"655",1,1990,3,9,1,"F",
0.00,2.00,19600.00,52.00,13.00,889.00,1133.00,252.00,143.00,130.00,"Markair Inc.","BF","ADQ","ANC",5,"570",1,1990,3,9,1,"F",
0.00,2.00,52310.00,214.00,84.00,151.00,32.00,143.00,100.00,78.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"620",1,1990,3,9,1,"F",
0.00,1.00,34883.00,145.00,105.00,1248.00,593.00,143.00,70.00,46.00,"Pan American World Airways (1)","PA","AGS","ATL",7,"715",1,1990,3,9,1,"F",
0.00,1.00,35500.00,142.00,105.00,138.00,0.00,143.00,47.00,36.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"655",1,1990,3,9,1,"F",
0.00,1.00,9800.00,18.00,0.00,0.00,0.00,289.00,83.00,77.00,"Markair Inc.","BF","AKN","ANC",5,"570",1,1990,3,9,1,"F",
0.00,2.00,48000.00,140.00,83.00,175.00,6433.00,71.00,64.00,46.00,"Markair Inc.","BF","AKN","DLG",6,"621",1,1990,3,9,1,"F",
0.00,1.00,25200.00,108.00,48.00,27.00,0.00,167.00,53.00,32.00,"Eastern Air Lines Inc.","EA","ALB","ABE",6,"640",1,1990,3,9,1,"F",
0.00,1.00,35000.00,151.00,98.00,0.00,105.00,318.00,66.00,56.00,"US Airways Inc.","US","ALB","DCA",7,"715",1,1990,3,9,1,"F",
